id,scientific_name,common_name,source,url,short_description
146,Russula claroflava,Russula Claroflava Grove,wikipedia,https://en.wikipedia.org/wiki/Russula_claroflava,"Russula claroflava, commonly known as the yellow russula, yellow swamp russula or yellow swamp brittlegill, is a basidiomycete mushroom of the genus Russula. It has a yellow cap, white gills and stipe and bruises grey."
147,Agaricus sylvicola,Agaricus Sylvicola,wikipedia,https://en.wikipedia.org/wiki/Agaricus_silvicola,"Agaricus silvicola, also known as the wood mushroom or woodland agaricus, is a species of Agaricus mushroom related to the button mushroom."
148,Clitocybe metachroa,Clitocybe Metachroa,,,
149,Russula undulata,Russula Undulata,inat->wikipedia,https://en.wikipedia.org/wiki/Russula_atropurpurea,"Russula atropurpurea is an edible member of the genus Russula. It is dark vinaceous or purple, and grows with deciduous, or occasionally coniferous trees. It is commonly called the blackish purple Russula, or the purple brittlegill."
150,Russula violeipes,Russula Violeipes Quél.,wikipedia,https://en.wikipedia.org/wiki/Russula_violeipes,"Russula violeipes, commonly known as the velvet brittlegill, is a species of fungus in the family Russulaceae. It was described by French mycologist Lucien Quélet in 1898. An edible mushroom, it is found in Asia and Europe."
151,Russula foetens,Russula Foetens,wikipedia,https://en.wikipedia.org/wiki/Russula_foetens,"Russula foetens, commonly known as the stinking russula, is a common Russula mushroom found in deciduous and coniferous forests."
152,Russula solaris,Russula Solaris,wikipedia,https://en.wikipedia.org/wiki/Russula_solaris,Russula solaris is a species of fungus in the family Russulaceae. It is found in Europe.
153,Russula queletii,Russula Queletii,wikipedia,https://en.wikipedia.org/wiki/Russula_queletii,"Russula queletii otherwise known as the gooseberry russula, is a common, inedible, Russula mushroom found growing in groups, predominantly in spruce forest. Eating this mushroom causes abdominal pains."
154,Mycena leptocephala,Mycena Leptocephala,wikipedia,https://en.wikipedia.org/wiki/Mycena_leptocephala,"Mycena leptocephala, commonly known as the nitrous bonnet, is a species of fungus in the family Mycenaceae. The mushrooms have conical grayish caps that reach up to 3 cm (1.2 in) in diameter, and thin fragile stems up to 5 cm (2.0 in) long. The gills are gray and distantly spaced. The spores are elliptical, typically measure 7–10 by 4–6 μm, and are white in deposit. When viewed under a light microscope, the gills have abundant spindle-shaped cystidia on the gill edges, but few on the gill faces. Similar species include Mycena alcalina, M. austera, and M. brevipes."
155,Mycena inclinata,Mycena Inclinata,wikipedia,https://en.wikipedia.org/wiki/Mycena_inclinata,"Mycena inclinata, commonly known as the clustered bonnet or the oak-stump bonnet cap, is a species of mushroom in the family Mycenaceae. The doubtfully edible mushroom has a reddish-brown bell-shaped cap up to 4.5 cm (1.8 in) in diameter. The thin stem is up to 9 cm (3.5 in) tall, whitish to yellow-brown at the top but progressively becoming reddish-brown towards the base in maturity, where they are covered by a yellowish mycelium that can be up to a third of the length of the stem. The gills are pale brown to pinkish, and the spore print is white. It is a widespread saprobic fungus, and has been found in Europe, North Africa, Asia, Australasia, and North America, where it grows in small groups or tufts on fallen logs and stumps, especially of oak. British mycologist E.J.H. Corner has described two varieties of the mushroom from Borneo. Lookalike species with which M. inclinata may be confused include M. galericulata and M. maculata."
156,Russula olivacea,Russula Olivacea,wikipedia,https://en.wikipedia.org/wiki/Russula_olivacea,"Russula olivacea is an edible and non-poisonous Russula mushroom found mostly in groups from June in deciduous and coniferous forests, mainly under spruce and beech; not rare."
157,Russula depallens,Russula Depallens,inat->wikipedia,https://en.wikipedia.org/wiki/Russula_atropurpurea,"Russula atropurpurea is an edible member of the genus Russula. It is dark vinaceous or purple, and grows with deciduous, or occasionally coniferous trees. It is commonly called the blackish purple Russula, or the purple brittlegill."
158,Mycena sanguinolenta,Mycena Sanguinolenta,wikipedia,https://en.wikipedia.org/wiki/Mycena_sanguinolenta,"Mycena sanguinolenta, commonly known as the bleeding bonnet, the smaller bleeding Mycena, or the terrestrial bleeding Mycena, is a species of mushroom in the family Mycenaceae. It is a common and widely distributed species, and has been found in North America, Australia, and Eurasia. The fungus produces reddish-brown to reddish-purple fruit bodies with conic to bell-shaped caps up to 1.5 cm (0.6 in) wide held by slender stipes up to 6 cm (2.4 in) high. When fresh, the fruit bodies will ""bleed"" a dark reddish-purple sap. The similar M. haematopus is larger and grows on decaying wood, usually in clumps. M. sanguinolenta contains alkaloid pigments that are unique to the species, may produce an antifungal compound, and is bioluminescent. The edibility of the mushroom has not been determined."
159,Mycena pseudocorticola,Mycena Pseudocorticola Kühner,,,
160,Mycena polygramma,Mycena Polygramma,wikipedia,https://en.wikipedia.org/wiki/Mycena_polygramma,"Mycena polygramma, commonly known as the grooved bonnet, is a species of mushroom in the family Mycenaceae. The inedible fruit bodies are small, pale gray-brown mushrooms with broadly conical caps, pinkish gills. They are found in small troops on stumps and branches of deciduous and occasionally coniferous trees. The mushroom is found in Asia, Europe, and North America, where it is typically found on twigs or buried wood, carrying out its role in the forest ecosystem by decomposing organic matter, recycling nutrients, and forming humus in the soil. M. polygramma contains two uncommon hydroxy fatty acids and is also a bioluminescent fungus whose intensity of light emission follows a diurnal pattern."
161,Russula recondita,Russula Recondita,,,
162,Amanita virosa,Amanita Virosa,wikipedia,https://en.wikipedia.org/wiki/Amanita_virosa,"Amanita virosa is a species of fungus in the class Agaricomycetes. In the UK, it has the recommended English name of destroying angel and is known internationally as the European destroying angel. Basidiocarps are agaricoid (mushroom-shaped) and pure white with a ring on the stem and a sack-like volva at the base."
163,Russula lepida,Russula Lepida,wikipedia,https://en.wikipedia.org/wiki/Russula_rosea,"Russula rosea, known as the rosy russula, is a north temperate, commonly found mushroom of the large ""brittlegill"" genus Russula."
164,Amanita porphyria,Amanita Porphyria,wikipedia,https://en.wikipedia.org/wiki/Amanita_porphyria,"Amanita porphyria, also known as the grey veiled amanita or the porphyry amanita, is a fairly common, inedible mushroom of the genus Amanita found in Europe and North America."
165,Russula xerampelina,Russula Xerampelina,wikipedia,https://en.wikipedia.org/wiki/Russula_xerampelina,"Russula xerampelina, also commonly known as the shrimp russula, crab brittlegill, or shrimp mushroom, is a basidiomycete mushroom of the brittlegill genus Russula. Two subspecies are recognised. The fruiting bodies appear in coniferous woodlands in autumn in northern Europe and North America. Their caps are coloured various shades of wine-red, purple to green. Mild tasting and edible, it is one of the most highly regarded brittlegills for the table. It is also notable for smelling of shellfish or crab when fresh."
166,Mycena galopus,Mycena Galopus,wikipedia,https://en.wikipedia.org/wiki/Mycena_galopus,"Mycena galopus, commonly known as the milky mycena, milking bonnet or milk-drop mycena, is an inedible species of fungus in the family Mycenaceae of the order Agaricales. It produces small mushrooms that have grayish-brown, bell-shaped, radially-grooved caps up to 2.5 cm (1 in) wide. The gills are whitish to gray, widely spaced, and squarely attached to the stem. The slender stems are up to 8 cm (3 in) long, and pale gray at the top, becoming almost black at the hairy base. The stem will ooze a whitish latex if it is injured or broken. The variety nigra has a dark gray cap, while the variety candida is white. All varieties of the mushroom occur during summer and autumn on leaf litter in coniferous and deciduous habitats."
167,Agaricus bitorquis,Agaricus Bitorquis,wikipedia,https://en.wikipedia.org/wiki/Agaricus_bitorquis,"Agaricus bitorquis, commonly known as torq, banded agaric, spring agaric, banded agaricus, urban agaricus, or pavement mushroom, is an edible white mushroom of the genus Agaricus, similar to the common button mushroom that is sold commercially. The name supersedes Agaricus rodmani."
168,Russula paludosa,Russula Paludosa,wikipedia,https://en.wikipedia.org/wiki/Russula_paludosa,Russula paludosa is an edible species of mushroom within the large genus Russula. It is common to Europe and North America.
169,Mycena pelianthina,Mycena Pelianthina,,,
170,Mycena vitilis,Mycena Vitilis,wikipedia,https://en.wikipedia.org/wiki/Mycena_vitilis,"Mycena vitilis, commonly known as the snapping bonnet, is a species of inedible mushroom in the family Mycenaceae. It is found in Europe and North America, where it grows on the ground among leaves in damp places, especially under alder. The small pale gray to whitish fruit bodies are usually attached to small sticks buried in the leaves and detritus. They are distinguished by their long, slender stems that root into the ground, and by the grooved cap that reaches diameters of up to 2.2 cm (0.9 in). The grayish-white gills on the underside of the cap are distantly spaced, and adnately attached to the stem. M. vitilis contains strobilurin B, a fungicidal compound with potential use in agriculture."
171,Mycena tintinnabulum,Mycena Tintinnabulum,wikipedia,https://en.wikipedia.org/wiki/Mycena_tintinnabulum,"Mycena tintinnabulum is a European species of agaric fungus in the family Mycenaceae. The mycelium, but not the fruit body, is bioluminescent."
172,Amanita citrina,Amanita Citrina,wikipedia,https://en.wikipedia.org/wiki/Amanita_citrina,"Amanita citrina, commonly known as the false death cap or citron amanita, is a basidiomycotic mushroom, one of many in the genus Amanita. It grows in silicate soil in the summer and autumn months. It bears a pale yellow or sometimes white cap, with white stem, ring and volva. It is an inedible mushroom due to its toxicity, but is more pertinently often confused for the lethal death cap."
173,Mycena epipterygia,Mycena Epipterygia,wikipedia,https://en.wikipedia.org/wiki/Mycena_epipterygia,Mycena epipterygia is a species of fungus in the family Mycenaceae of mushrooms commonly found in Europe. It is commonly known as yellowleg bonnet or yellow-stemmed mycena. Mycena nivicola has been suggested as a separate species name for the Western variety.
174,Boletus reticulatus,Boletus Reticulatus,wikipedia,https://en.wikipedia.org/wiki/Boletus_reticulatus,"Boletus reticulatus, and commonly referred to as the summer cep is a basidiomycete fungus of the genus Boletus. It occurs in deciduous forests of Europe, where it forms a symbiotic mycorrhizal relationship with species of oak (Quercus). The fungus produces fruiting bodies in the summer months which are edible and popularly collected. The summer cep was formally described by Jacob Christian Schäffer as Boletus reticulatus in 1774, which took precedence over B. aestivalis as described by Jean-Jacques Paulet in 1793."
175,Agaricus impudicus,Agaricus Impudicus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_impudicus,"Agaricus impudicus, also known as the tufted wood mushroom, is a mushroom of Agaricus, a genus with many edible species."
176,Russula cyanoxantha,Russula Cyanoxantha,wikipedia,https://en.wikipedia.org/wiki/Russula_cyanoxantha,"Russula cyanoxantha, commonly known as the charcoal burner or variegated russula, is a basidiomycete mushroom. It can be confused for a number of other members of its genus. Found mostly in Europe, it is an edible mushroom."
177,Russula vesca,Russula Vesca,wikipedia,https://en.wikipedia.org/wiki/Russula_vesca,"Russula vesca, known by the common names of bare-toothed Russula or the flirt, is a basidiomycete mushroom of the genus Russula."
178,Amanita phalloides,Amanita Phalloides,wikipedia,https://en.wikipedia.org/wiki/Amanita_phalloides,"Amanita phalloides, commonly known as the death cap, is a deadly poisonous basidiomycete fungus and mushroom, one of many in the genus Amanita. Originating in Europe but later introduced to other parts of the world since the late twentieth century, A. phalloides forms ectomycorrhizas with various broadleaved trees. In some cases, the death cap has been introduced to new regions with the cultivation of non-native species of oak, chestnut, and pine. The large fruiting bodies appear in summer and autumn; the caps are generally greenish in colour with a white stipe and gills. The cap colour is variable, including white forms, and is thus not a reliable identifier."
179,Agaricus arvensis,Agaricus Arvensis,wikipedia,https://en.wikipedia.org/wiki/Agaricus_arvensis,"Agaricus arvensis, commonly known as the horse mushroom, is a mushroom-forming fungus of the genus Agaricus."
180,Amanita pantherina,Amanita Pantherina,wikipedia,https://en.wikipedia.org/wiki/Amanita_pantherina,"Amanita pantherina, also known as the panther cap, false blusher, and the panther amanita due to its similarity to the true blusher, is a species of fungus found in Eurasia with poisonous and psychoactive properties."
181,Agaricus augustus,Agaricus Augustus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_augustus,"Agaricus augustus, known commonly as the prince, is a basidiomycete fungus of the genus Agaricus. It is generally edible, but bioaccumulates the metal cadmium."
182,Agaricus campestris,Agaricus Campestris,wikipedia,https://en.wikipedia.org/wiki/Agaricus_campestris,"Agaricus campestris is a widely eaten gilled mushroom closely related to the cultivated A. bisporus. A. campestris is commonly known as the field mushroom or, in North America, meadow mushroom."
183,Clitocybe fragrans,Clitocybe Fragrans Sowerby,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_fragrans,"Clitocybe fragrans is a species of mushroom with several lookalikes, some of which are poisonous."
184,Mycena haematopus,Mycena Haematopus,wikipedia,https://en.wikipedia.org/wiki/Mycena_haematopus,"Mycena haematopus, commonly known as the bleeding fairy helmet, the burgundydrop bonnet, or the bleeding Mycena, is a species of fungus in the family Mycenaceae, of the order Agaricales. First described scientifically in 1799, it is classified in the section Lactipedes of the genus Mycena, along with other species that produce a milky or colored latex."
185,Mycena crocata,Mycena Crocata,wikipedia,https://en.wikipedia.org/wiki/Mycena_crocata,"Mycena crocata is a species of agaric fungus in the family Mycenaceae. The common name saffrondrop bonnet refers to the red or orange latex that it exudes if the stipe is broken. Its habitat is woody debris and leaf litter in deciduous woodland, especially beech."
186,Agaricus xanthodermus,Agaricus Xanthodermus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_xanthodermus,"Agaricus xanthodermus, commonly known as the yellow-staining agaricus, yellow-staining mushroom or yellow-stainer, is a species of fungus in the genus Agaricus. It displays a strong yellow colouration at the base of the stem when cut. It has a phenolic smell. It is poisonous for most people, causing gastric upset, but can be eaten by some without apparent negative effect."
187,Russula nigricans,Russula Nigricans,wikipedia,https://en.wikipedia.org/wiki/Russula_adusta,"Russula adusta, commonly known as the blackening brittlegill or blackening russula, is a species of gilled mushroom. It is a member of the Russula subgenus Compactae. The cap is brown to gray and somewhat shiny, with a mild taste and, reportedly, an odor of empty wine barrels. It has a propensity to turn black from cutting or bruising and has white spores. Similar species include Russula albonigra and R. densifolia."
188,Mycena rosea,Mycena Rosea Gramberg,wikipedia,https://en.wikipedia.org/wiki/Mycena_rosea,"Mycena rosea, commonly known as the rosy bonnet, is a species of bioluminescent mushroom in the family Mycenaceae. First named Agaricus roseus in 1803 by Danish botanist Heinrich Christian Friedrich Schumacher, it was given its present name in 1912 by Gramberg."
189,Russula ochroleuca,Russula Ochroleuca,wikipedia,https://en.wikipedia.org/wiki/Russula_ochroleuca,"Russula ochroleuca is a member of the genus Russula. A group that have become known as brittlegills. It has been commonly known as the common yellow russula for some years, and latterly the ochre brittlegill. It is widespread, and common in mixed woodland."
190,Amanita fulva,Amanita Fulva,wikipedia,https://en.wikipedia.org/wiki/Amanita_fulva,"Amanita fulva, commonly called the tawny grisette or the orange-brown ringless amanita, is a basidiomycete mushroom of the genus Amanita. It is found frequently in deciduous and coniferous forests of Europe, and possibly North America."
191,Amanita rubescens,Amanita Rubescens,wikipedia,https://en.wikipedia.org/wiki/Blusher,The blusher is the common name for several closely related species of the genus Amanita. A. rubescens is found in Eurasia and A. novinupta is found in western North America. Both their scientific and common names stem from the tendency of their flesh to bruise pink.
192,Clitocybe nebularis,Clitocybe Nebularis,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_nebularis,"Clitocybe nebularis or Lepista nebularis, commonly known as the clouded agaric, cloudy clitocybe, or cloud funnel, is an abundant gilled fungus which appears both in conifer-dominated forests and broad-leaved woodland in Europe and North America. Appearing in Britain from mid to late autumn, it is edible, but may cause gastrointestinal issues."
193,Mycena galericulata,Mycena Galericulata,wikipedia,https://en.wikipedia.org/wiki/Mycena_galericulata,"Mycena galericulata is a mushroom species commonly known as the common bonnet, the toque mycena, the common mycena or the rosy-gill fairy helmet. The type species of the genus Mycena was first described scientifically in 1772, but was not considered a Mycena until 1821."
194,Amanita muscaria,Amanita Muscaria,wikipedia,https://en.wikipedia.org/wiki/Amanita_muscaria,"Amanita muscaria, commonly known as the fly agaric or fly amanita, is a basidiomycete fungus of the genus Amanita. It is a large white-gilled, white-spotted mushroom typically featuring a bright red cap covered with distinctive white warts. It is one of the most recognisable fungi in the world."
195,Boletus edulis,Boletus Edulis,wikipedia,https://en.wikipedia.org/wiki/Boletus_edulis,"Boletus edulis is a basidiomycete fungus, and the type species of the genus Boletus. It is prized as an edible mushroom."
