id,scientific_name,most_common_name,source,status,reason,short_description,facts_text,final_text,url_used
53,Epinephelus ongus,epinephelus ongus,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 16; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.7-3.2 in SL; head length 2.3-2.5 in SL; head pointed, flat interorbital area, dorsal head profile slightly convex; preopercle rounded, serrae small and mostly covered by skin; upper edge of operculum strongly convex, the rear edge almost vertical, the upper spine extending posterior to lower spine; rear nostril diameter about twice that of anterior nostril; small, embedded scales on maxilla; 2-4 rows of small teeth at midlateral part of lower jaw; canines at front of jaws small or absent; gill rakers of first gill arch 8-10 + 15-18 (including 6 to 8 rudiments on each limb); caudal fin rounded; pectoral fins large and fleshy, with 15-17 rays, the fin length 1.4-1.7 in HL; short pelvic fins, 1.9-2.4 in HL; lateral-line scales 48-53; lateral scale series 95-110. Colour of body brown, with numerous small white spots (in specimens >10 cm SL), horizontally elongate and tend to form wavy white lines in adults, several round or irregular pale blotches (eye-sized or larger) usually superimposed over small white spots, head brown, with numerous small white spots dorsally behind eyes; black maxillary streak usually hidden by maxilla, median fins with small white spots and streaks, the posterior margin blackish with a white edge, paired fins are greyish brown; juveniles of about 6 cm SL are brown, covered with small, dark-edged white spots which are round, except on front part of dorsal fin where they are elongated; white spots on paired fins become fewer and fainter with growth, and are absent in adults . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 40
environment: milieu / climate zone / depth range / distribution range
depth: East Africa to the Ryukyu Islands, Marshall Islands, Fiji, New Caledonia, and northern Australia
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 16; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.7-3.2 in SL; head length 2.3-2.5 in SL; head pointed, flat interorbital area, dorsal head profile slightly convex; preopercle rounded, serrae small and mostly covered by skin; upper edge of operculum strongly convex, the rear edge almost vertical, the upper spine extending posterior to lower spine; rear nostril diameter about twice that of anterior nostril; small, embedded scales on maxilla; 2-4 rows of small teeth at midlateral part of lower jaw; canines at front of jaws small or absent; gill rakers of first gill arch 8-10 + 15-18 (including 6 to 8 rudiments on each limb); caudal fin rounded; pectoral fins large and fleshy, with 15-17 rays, the fin length 1.4-1.7 in HL; short pelvic fins, 1.9-2.4 in HL; lateral-line scales 48-53; lateral scale series 95-110. Colour of body brown, with numerous small white spots (in specimens >10 cm SL), horizontally elongate and tend to form wavy white lines in adults, several round or irregular pale blotches (eye-sized or larger) usually superimposed over small white spots, head brown, with numerous small white spots dorsally behind eyes; black maxillary streak usually hidden by maxilla, median fins with small white spots and streaks, the posterior margin blackish with a white edge, paired fins are greyish brown; juveniles of about 6 cm SL are brown, covered with small, dark-edged white spots which are round, except on front part of dorsal fin where they are elongated; white spots on paired fins become fewer and fainter with growth, and are absent in adults . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Epinephelus-ongus
54,Rhinecanthus rectangulus,rhinecanthus rectangulus,fishbase,OK,,"Dorsal spines (total): 3; Dorsal soft rays (total): 22 - 25; Anal spines : 0; Anal soft rays : 20 - 22. Body orange-brown above; head and belly white; soft dorsal, anal and pectoral fins pale; caudal fin dusky . Body shape ( shape guide ): short and / or deep","max length: 30
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea south to East Africa through Indonesia and northern Australia up to Hawaii and Pitcairn islands
body: short and / or deep","Dorsal spines (total): 3; Dorsal soft rays (total): 22 - 25; Anal spines : 0; Anal soft rays : 20 - 22. Body orange-brown above; head and belly white; soft dorsal, anal and pectoral fins pale; caudal fin dusky . Body shape ( shape guide ): short and / or deep",https://fishbase.se/summary/Rhinecanthus-rectangulus
55,Cryptocentrus leptocephalus,cryptocentrus leptocephalus,fishbase,OK,,"Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10 - 11; Anal spines : 1; Anal soft rays : 10 - 11. Characterized by pale brownish green body color grading to whitish ventrally; 6-7 diffuse brownish bars on side; head, back and dorsal fins with pale-edged pink to red spots and smaller white spots; blue-edged orange to brown spots on first dorsal fin; united pelvic fins, presence of frenum; longitudinal scale series 77-92; head without scales; greatest depth of body 5.4-6.0 in SL; rounded caudal fin, longer than head length . Body shape ( shape guide ): elongated","max length: 12
environment: milieu / climate zone / depth range / distribution range
depth: Indonesia to New Caledonia, north to the Yaeyama Islands, south to northwestern Australia
body: elongated","Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10 - 11; Anal spines : 1; Anal soft rays : 10 - 11. Characterized by pale brownish green body color grading to whitish ventrally; 6-7 diffuse brownish bars on side; head, back and dorsal fins with pale-edged pink to red spots and smaller white spots; blue-edged orange to brown spots on first dorsal fin; united pelvic fins, presence of frenum; longitudinal scale series 77-92; head without scales; greatest depth of body 5.4-6.0 in SL; rounded caudal fin, longer than head length . Body shape ( shape guide ): elongated",https://fishbase.se/summary/Cryptocentrus-leptocephalus
56,Epinephelus epistictus,epinephelus epistictus,fishbase,OK,,Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 15; Anal spines : 3; Anal soft rays : 8. Body shape ( shape guide ): fusiform / normal; Cross section: compressed,"max length: 80
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea, Kenya to South Africa
body: fusiform / normal",Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 15; Anal spines : 3; Anal soft rays : 8. Body shape ( shape guide ): fusiform / normal; Cross section: compressed,https://fishbase.se/summary/Epinephelus-epistictus
57,Salarias fasciatus,salarias fasciatus,fishbase,OK,,"Dorsal spines (total): 12; Dorsal soft rays (total): 18 - 20; Anal spines : 2; Anal soft rays : 19 - 21. Numerous pale spots, dark streaks anteriorly, and several dusky bands . Body shape ( shape guide ): elongated","max length: 14
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and East Africa to Samoa, north to the Ryukyu Islands, south to the Great Barrier Reef and New Caledonia
body: elongated","Dorsal spines (total): 12; Dorsal soft rays (total): 18 - 20; Anal spines : 2; Anal soft rays : 19 - 21. Numerous pale spots, dark streaks anteriorly, and several dusky bands . Body shape ( shape guide ): elongated",https://fishbase.se/summary/Salarias-fasciatus
58,Kyphosus sectatrix,kyphosus sectatrix,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 11 - 12; Anal spines : 3; Anal soft rays : 11. Gray overall, with faint yellow lines on side and yellow line from corner of mouth to preopercle . Upper part pf opercular membrane blackish. The young may display pale spots nearly as large as eye on the head, body and fins . Each jaw with a regular row of close-set, strong, incisor-like, round-tipped teeth of a peculiar hockey stick-shape, their bases set horizontally, resembling a radially striated bony plate inside mouth . Body shape ( shape guide ): fusiform / normal","max length: 76
environment: milieu / climate zone / depth range / distribution range
depth: L
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 11 - 12; Anal spines : 3; Anal soft rays : 11. Gray overall, with faint yellow lines on side and yellow line from corner of mouth to preopercle . Upper part pf opercular membrane blackish. The young may display pale spots nearly as large as eye on the head, body and fins . Each jaw with a regular row of close-set, strong, incisor-like, round-tipped teeth of a peculiar hockey stick-shape, their bases set horizontally, resembling a radially striated bony plate inside mouth . Body shape ( shape guide ): fusiform / normal",https://fishbase.se/summary/Kyphosus-sectatrix
59,Neosynchiropus ocellatus,neosynchiropus ocellatus,fishbase,OK,,Dorsal spines (total): 4; Dorsal soft rays (total): 8 - 10; Anal spines : 0; Anal soft rays : 7 - 9. Identified by starry pattern on body and males by dorsal fin . Body shape ( shape guide ): fusiform / normal,"max length: 8
environment: milieu / climate zone / depth range / distribution range
depth: from Indonesia to the Pitcairn Group
body: fusiform / normal",Dorsal spines (total): 4; Dorsal soft rays (total): 8 - 10; Anal spines : 0; Anal soft rays : 7 - 9. Identified by starry pattern on body and males by dorsal fin . Body shape ( shape guide ): fusiform / normal,https://fishbase.se/summary/Neosynchiropus-ocellatus
60,Epinephelus hexagonatus,epinephelus hexagonatus,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.8-3.5 in SL (10-17 cm SL individuals); head length 2.5-2.6 in SL; preopercle rounded, ventral serrae slightly enlarged; upper edge of operculum convex; midlateral part of lower jaw with 3-5 rows of teeth; gill rakers of first gill arch 7-9 + 17-19; dorsal spines 5th-9th subequal (2.5-2.8 in HL); second anal spine 2.1-2.5 in HL, distinctly longer than third spine or depth of peduncle; caudal fin rounded; pectoral-fin rays 17-19, fin length 1.6-1.9 in HL; pelvic fins 1.8-2.1 in HL; lateral-line scales 61-70; lateral scale series 93 to 114. Colour: head and body covered with polygonal (mostly hexagonal) brown spots that tend to merge, leaving only conspicuous triangular white dots at corners of the polygons; dark spots on belly and ventral part of head more rounded and separated, and often reddish brown; 4 or 5 brownish black saddle blotches (formed by groups of darker spots) on dorsal part of body and caudal peduncle, the first 4 extending onto base of dorsal fin; irregular dark bar, formed by darker polygonal spots, on lower part of body below each saddle blotch; large brown or olive spot just behind eye, often joined to similar spot on opercle; fins with close-set dark brown or reddish brown spots and white dots, except distal half of pectoral fins with faint dark spots and no white dots; pelvic and anal fins with pale edge and dark brown submarginal band; interspinous dorsal-fin membranes with dark brown triangle and short white or pale yellow filament behind tip of each spine . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 27
environment: milieu / climate zone / depth range / distribution range
depth: none have been taken on the African coast, except for the specimen recorded by Randall and Heemstra 1991(
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.8-3.5 in SL (10-17 cm SL individuals); head length 2.5-2.6 in SL; preopercle rounded, ventral serrae slightly enlarged; upper edge of operculum convex; midlateral part of lower jaw with 3-5 rows of teeth; gill rakers of first gill arch 7-9 + 17-19; dorsal spines 5th-9th subequal (2.5-2.8 in HL); second anal spine 2.1-2.5 in HL, distinctly longer than third spine or depth of peduncle; caudal fin rounded; pectoral-fin rays 17-19, fin length 1.6-1.9 in HL; pelvic fins 1.8-2.1 in HL; lateral-line scales 61-70; lateral scale series 93 to 114. Colour: head and body covered with polygonal (mostly hexagonal) brown spots that tend to merge, leaving only conspicuous triangular white dots at corners of the polygons; dark spots on belly and ventral part of head more rounded and separated, and often reddish brown; 4 or 5 brownish black saddle blotches (formed by groups of darker spots) on dorsal part of body and caudal peduncle, the first 4 extending onto base of dorsal fin; irregular dark bar, formed by darker polygonal spots, on lower part of body below each saddle blotch; large brown or olive spot just behind eye, often joined to similar spot on opercle; fins with close-set dark brown or reddish brown spots and white dots, except distal half of pectoral fins with faint dark spots and no white dots; pelvic and anal fins with pale edge and dark brown submarginal band; interspinous dorsal-fin membranes with dark brown triangle and short white or pale yellow filament behind tip of each spine . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Epinephelus-hexagonatus
61,Epinephelus cyanopodus,epinephelus cyanopodus,fishbase,OK,,Dorsal spines (total): 11; Dorsal soft rays (total): 16 - 17; Anal spines : 3; Anal soft rays : 8. Juveniles are mostly yellow becoming gray with dark spots anteriorly. The gray area increases with increasing size until only the fins remain yellow on individuals of 15 to 20 cm . Body shape ( shape guide ): fusiform / normal; Cross section: compressed,"max length: 122 cm TL male/unsexed
environment: milieu / climate zone / depth range / distribution range
depth: southern Japan to southern Queensland and east to Fiji and the islands of Micronesia
body: fusiform / normal",Dorsal spines (total): 11; Dorsal soft rays (total): 16 - 17; Anal spines : 3; Anal soft rays : 8. Juveniles are mostly yellow becoming gray with dark spots anteriorly. The gray area increases with increasing size until only the fins remain yellow on individuals of 15 to 20 cm . Body shape ( shape guide ): fusiform / normal; Cross section: compressed,https://fishbase.se/summary/Epinephelus-cyanopodus
62,Parupeneus cyclostomus,parupeneus cyclostomus,fishbase,OK,,"Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 1; Anal soft rays : 7. This species is distinguished by the following characters: pectoral rays 16 (rarely 15 or 17); gill rakers 6-7 + 22-26 = 29-33; body depth 3.25-3.8 in SL (body deeper with growth); head length (HL) 2.85-3.1 in SL; snout long, its length 1.61.8 in HL; eye small, the orbit diameter 5.3-8.95 in HL (SL 118-392 mm); barbels very long, 1.15 in HL to longer than head; longest dorsal spine 1.5-1.7 in HL; penultimate dorsal ray 1.1-1.2 in length of last dorsal ray; pectoral-fin length 1.5-1.7 in HL; pelvic-fin length 1.35-1.55 in HL. Colour of large adults yellowish gray, edges of the scales bright blue except ventrally, edges more broadly blue posteriorly; a large, hemispherical, saddle-like, yellow spot covering most of upper half of caudal peduncle; region around eye yellow with radiating short narrow blue bands; caudal fin with longitudinal blue bands; second dorsal and anal fins with narrow oblique blue bands; a second smaller color phase entirely yellow, with dorsal peduncular spot sometimes apparent by being brighter yellow than rest of body . Body shape ( shape guide ): fusiform / normal; Cross section: oval","max length: 50
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and east coast of Africa south to Durban, South Africa, east to the Hawaiian Islands, islands of French Polynesia and the Pitcairn Islands, north to the Ryukyu Islands and Ogasawara Islands, Japan south to Australia
body: fusiform / normal","Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 1; Anal soft rays : 7. This species is distinguished by the following characters: pectoral rays 16 (rarely 15 or 17); gill rakers 6-7 + 22-26 = 29-33; body depth 3.25-3.8 in SL (body deeper with growth); head length (HL) 2.85-3.1 in SL; snout long, its length 1.61.8 in HL; eye small, the orbit diameter 5.3-8.95 in HL (SL 118-392 mm); barbels very long, 1.15 in HL to longer than head; longest dorsal spine 1.5-1.7 in HL; penultimate dorsal ray 1.1-1.2 in length of last dorsal ray; pectoral-fin length 1.5-1.7 in HL; pelvic-fin length 1.35-1.55 in HL. Colour of large adults yellowish gray, edges of the scales bright blue except ventrally, edges more broadly blue posteriorly; a large, hemispherical, saddle-like, yellow spot covering most of upper half of caudal peduncle; region around eye yellow with radiating short narrow blue bands; caudal fin with longitudinal blue bands; second dorsal and anal fins with narrow oblique blue bands; a second smaller color phase entirely yellow, with dorsal peduncular spot sometimes apparent by being brighter yellow than rest of body . Body shape ( shape guide ): fusiform / normal; Cross section: oval",https://fishbase.se/summary/Parupeneus-cyclostomus
63,Harengula clupeola,harengula clupeola,fishbase,OK,,"Dorsal spines (total): 0; Dorsal soft rays (total): 15 - 21; Anal spines : 0; Anal soft rays : 12 - 23. Tooth-plate on tongue and tooth plate behind it (basihyal and basibranchials tooth plates) broad, their width about 3 to 5 times in their combined length, the basibranchial tooth plate with a distinct bulge in front. Scales fairly strongly attached, not easily lost. No dark pigment on dorsal fin tip . Silvery, with a dark greenish back. Diffuse yellow or pale orange spot at edge of opercle. Body slender, lower profile not strongly curved . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 22
environment: milieu / climate zone / depth range / distribution range
depth: Gulf of Mexico and southeastern Florida to northern Brazil, including the Bahamas, the entire Caribbean and the West Indies
body: fusiform / normal","Dorsal spines (total): 0; Dorsal soft rays (total): 15 - 21; Anal spines : 0; Anal soft rays : 12 - 23. Tooth-plate on tongue and tooth plate behind it (basihyal and basibranchials tooth plates) broad, their width about 3 to 5 times in their combined length, the basibranchial tooth plate with a distinct bulge in front. Scales fairly strongly attached, not easily lost. No dark pigment on dorsal fin tip . Silvery, with a dark greenish back. Diffuse yellow or pale orange spot at edge of opercle. Body slender, lower profile not strongly curved . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Harengula-clupeola
64,Amblycirrhitus bimacula,amblycirrhitus bimacula,fishbase,OK,,Dorsal spines (total): 10; Dorsal soft rays (total): 12; Anal spines : 3; Anal soft rays : 6. Irregular dark bars on body which may be broken into spots; 2 narrow diagonal bars on cheek; opercle and base of soft dorsal with large ocellated black spot . Body shape ( shape guide ): short and / or deep; Cross section: compressed,"max length: 8
environment: milieu / climate zone / depth range / distribution range
depth: East Africa to Mangaréva, Tuamoto Islands and the Hawaiian Islands, north to Taiwan
body: short and / or deep",Dorsal spines (total): 10; Dorsal soft rays (total): 12; Anal spines : 3; Anal soft rays : 6. Irregular dark bars on body which may be broken into spots; 2 narrow diagonal bars on cheek; opercle and base of soft dorsal with large ocellated black spot . Body shape ( shape guide ): short and / or deep; Cross section: compressed,https://fishbase.se/summary/Amblycirrhitus-bimacula
65,Iniistius pavo,iniistius pavo,fishbase,OK,,"Dorsal spines (total): 9; Dorsal soft rays (total): 12 - 13; Anal spines : 3; Anal soft rays : 12 - 13. Identified by the dark vertical bar below the eye. Usually with 5 dark bars when adult and belly of female turns red. Juveniles with black anal fin and two large ocelli, thinly edged with white, in dorsal fin . First two dorsal spines form a separate fin. Juveniles this fin forms a long, bannerlike filament but shortens with age . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 42
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and East Africa to the Society Islands, north to southern Japan and Hawaii, south to the Lord Howe Island
body: fusiform / normal","Dorsal spines (total): 9; Dorsal soft rays (total): 12 - 13; Anal spines : 3; Anal soft rays : 12 - 13. Identified by the dark vertical bar below the eye. Usually with 5 dark bars when adult and belly of female turns red. Juveniles with black anal fin and two large ocelli, thinly edged with white, in dorsal fin . First two dorsal spines form a separate fin. Juveniles this fin forms a long, bannerlike filament but shortens with age . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Iniistius-pavo
66,Monotaxis grandoculis,monotaxis grandoculis,fishbase,OK,,"Dorsal spines (total): 10; Dorsal soft rays (total): 10; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: body oblong, greatest body depth of adults about 2.2 in SL; head profile strongly convex in front of eye, the snout sloping steeply; eye large 2.7 (juveniles) to 3.8 (adults) in HL; inner surface of the pectoral fin base is densely scaled; pectoral rays usually 14; caudal fin forked with pointed tips; lateral line scales 44-47; scale rows above lateral line (to base of middle dorsal spines) 5, below (to origin of anal fin) 13.5; side of jaw with row of 5-7 molariform teeth. Color of adult silvery grey with narrow dark scale margins, lips yellowish, a large black blotch covering pectoral fin axil, quick to assume pattern of 4 broad, blackish bars on body, the pale interspaces covering 3-4 scale rows; juveniles with black bar through eye, body with 3 dark brown to blackish bars with the 2 posterior bars extending onto the dorsal fin, and each lobe of caudal fin with an orange band . Body shape ( shape guide ): fusiform / normal; Cross section: oval","max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and East Africa to the Hawaiian Islands and southeastern Oceania, north to Japan, south to Australia
body: fusiform / normal","Dorsal spines (total): 10; Dorsal soft rays (total): 10; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: body oblong, greatest body depth of adults about 2.2 in SL; head profile strongly convex in front of eye, the snout sloping steeply; eye large 2.7 (juveniles) to 3.8 (adults) in HL; inner surface of the pectoral fin base is densely scaled; pectoral rays usually 14; caudal fin forked with pointed tips; lateral line scales 44-47; scale rows above lateral line (to base of middle dorsal spines) 5, below (to origin of anal fin) 13.5; side of jaw with row of 5-7 molariform teeth. Color of adult silvery grey with narrow dark scale margins, lips yellowish, a large black blotch covering pectoral fin axil, quick to assume pattern of 4 broad, blackish bars on body, the pale interspaces covering 3-4 scale rows; juveniles with black bar through eye, body with 3 dark brown to blackish bars with the 2 posterior bars extending onto the dorsal fin, and each lobe of caudal fin with an orange band . Body shape ( shape guide ): fusiform / normal; Cross section: oval",https://fishbase.se/summary/Monotaxis-grandoculis
67,Cottus beldingii,cottus beldingii,fishbase,OK,,Dorsal spines (total): 7 - 8; Dorsal soft rays (total): 16 - 18; Anal soft rays : 11 - 13. Body shape ( shape guide ): elongated,"max length: 13
environment: milieu / climate zone / depth range / distribution range
depth: Columbia drainage from Idaho, Wyoming and Nevada to Washington and Oregon in the USA
body: elongated",Dorsal spines (total): 7 - 8; Dorsal soft rays (total): 16 - 18; Anal soft rays : 11 - 13. Body shape ( shape guide ): elongated,https://fishbase.se/summary/Cottus-beldingii
68,Myripristis murdjan,myripristis murdjan,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 13 - 15; Anal spines : 4; Anal soft rays : 11 - 14. This species is distinguished by the following characters: robust and compressed body with big eyes; lower jaw with one pair of tooth patches at front of lower jaw just outside of gape; lower jaw of adults slightly projecting when mouth closed; gill rakers on first gill arch 11-15 (modally 13) on upper limb, total 36-44 (modally 39); lateral line scales 27-32 (modally 29); lower half to ¾ of axil of pectoral fins with small scales; interorbital space broad, its width 3.65- 4.4 times in head length. Colour of body red to dusky red, the edges of scales reddish brown; opercular membrane dark brown to black to about level of middle of eye; axil of pectoral fins dark brown to black; spinous dorsal fin light red on basal two-thirds, bright red on outer third; leading edges of soft dorsal, anal, caudal, and pelvic fins white . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea (including the Gulf of Oman) and East Africa to Oceania
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 13 - 15; Anal spines : 4; Anal soft rays : 11 - 14. This species is distinguished by the following characters: robust and compressed body with big eyes; lower jaw with one pair of tooth patches at front of lower jaw just outside of gape; lower jaw of adults slightly projecting when mouth closed; gill rakers on first gill arch 11-15 (modally 13) on upper limb, total 36-44 (modally 39); lateral line scales 27-32 (modally 29); lower half to ¾ of axil of pectoral fins with small scales; interorbital space broad, its width 3.65- 4.4 times in head length. Colour of body red to dusky red, the edges of scales reddish brown; opercular membrane dark brown to black to about level of middle of eye; axil of pectoral fins dark brown to black; spinous dorsal fin light red on basal two-thirds, bright red on outer third; leading edges of soft dorsal, anal, caudal, and pelvic fins white . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Myripristis-murdjan
69,Canthigaster solandri,canthigaster solandri,fishbase,OK,,"Dorsal spines (total): 0; Dorsal soft rays (total): 8 - 10; Anal spines : 0; Anal soft rays : 8 - 10. Ocellus at base of dorsal fin; dark lines radiating from eye; caudal fin brown with pale spots, outer rows may form wavy lines . Body shape ( shape guide ): short and / or deep","max length: 12
environment: milieu / climate zone / depth range / distribution range
depth: L
body: short and / or deep","Dorsal spines (total): 0; Dorsal soft rays (total): 8 - 10; Anal spines : 0; Anal soft rays : 8 - 10. Ocellus at base of dorsal fin; dark lines radiating from eye; caudal fin brown with pale spots, outer rows may form wavy lines . Body shape ( shape guide ): short and / or deep",https://fishbase.se/summary/Canthigaster-solandri
70,Megalops cyprinoides,megalops cyprinoides,fishbase,OK,,Dorsal spines (total): 0; Dorsal soft rays (total): 16 - 21; Anal spines : 0; Anal soft rays : 23 - 31. Body shape ( shape guide ): elongated; Cross section: compressed,"max length: 150 cm TL male/unsexed
environment: milieu / climate zone / depth range / distribution range
depth: Persian Gulf (
body: elongated",Dorsal spines (total): 0; Dorsal soft rays (total): 16 - 21; Anal spines : 0; Anal soft rays : 23 - 31. Body shape ( shape guide ): elongated; Cross section: compressed,https://fishbase.se/summary/Megalops-cyprinoides
71,Epinephelus fasciatus,epinephelus fasciatus,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.8-3.3 in SL (for specimens 10-26 cm SL); head length 2.3-2.6 in SL; flat interorbital area, convex dorsal head profile; snout length 4.3-5.1 in HL; preopercle rounded, rear edge serrate, with lower most serrae slightly enlarged; upper edge of operculum straight; midlateral part of lower jaw with 2-4 rows of teeth; gill rakers of first gill arch 6-8 + 15-17; pyloric caeca 10-16; caudal fin slightly to moderately rounded (Central-Pacific often with truncate caudal fins); ctenoid scales on body except cycloid anterodorsally above lateral line and on thorax and ventrally on abdomen, with numerous auxiliary scales; nape and dorsoposterior part of head densely covered with minute auxiliary scales; lateral-line scales 49-75. Colour variable, ranging from pale greenish grey to pale reddish yellow to scarlet; body often with 5 or 6 faint dark bars, the last on peduncle; body scales (except ventrally) with pale centre and dark rear margin, producing a faint checked pattern; the outer triangular part of interspinous membranes of dorsal fin black (dark red in fish from Western Australia and in some specimens from deep water), with pale yellow or white spot behind tip of each spine . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 52
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea to South Africa and eastward to the Pitcairn Group, north to Japan and Korea, south to the Arafura Sea (
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 8. This species is distinguished by the following characters: body depth 2.8-3.3 in SL (for specimens 10-26 cm SL); head length 2.3-2.6 in SL; flat interorbital area, convex dorsal head profile; snout length 4.3-5.1 in HL; preopercle rounded, rear edge serrate, with lower most serrae slightly enlarged; upper edge of operculum straight; midlateral part of lower jaw with 2-4 rows of teeth; gill rakers of first gill arch 6-8 + 15-17; pyloric caeca 10-16; caudal fin slightly to moderately rounded (Central-Pacific often with truncate caudal fins); ctenoid scales on body except cycloid anterodorsally above lateral line and on thorax and ventrally on abdomen, with numerous auxiliary scales; nape and dorsoposterior part of head densely covered with minute auxiliary scales; lateral-line scales 49-75. Colour variable, ranging from pale greenish grey to pale reddish yellow to scarlet; body often with 5 or 6 faint dark bars, the last on peduncle; body scales (except ventrally) with pale centre and dark rear margin, producing a faint checked pattern; the outer triangular part of interspinous membranes of dorsal fin black (dark red in fish from Western Australia and in some specimens from deep water), with pale yellow or white spot behind tip of each spine . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Epinephelus-fasciatus
72,Labeo coubie,labeo coubie,fishbase,OK,,"Dorsal soft rays (total): 15 - 19; Anal soft rays : 8 - 11; Vertebrae : 31 - 33. Diagnosis: dorsal profile straight to slightly arched; body dark and dull; rostral lobe poorly developed, its free margin smooth . Distal margin of dorsal fin straight or convex; inner surface of lips with 4-10 transverse folds or costae . Inferior mouth with well-developed lips forming a sucker-like ring enclosing the jaws; snout typically swollen, as long as or much longer than the postocular part of the head . Body not cylindriform, its depth 27-39% of SL or 2.3-3.3 times in SL . Depth of caudal peduncle 0.7-1.3x its length; 26-46 (50-150mm) and 37-47 (150-250mm) gill rakers; scale formula 5.5-7.5/36-40/6.5-7.5; 4.5 scales between lateral line and pelvic-fin base; 16 (18) scales around caudal peduncle . 11-14 dorsal fin branched rays . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 75
environment: milieu / climate zone / depth range / distribution range
depth: very widespread, within the drainage basin of the Nile (
body: fusiform / normal","Dorsal soft rays (total): 15 - 19; Anal soft rays : 8 - 11; Vertebrae : 31 - 33. Diagnosis: dorsal profile straight to slightly arched; body dark and dull; rostral lobe poorly developed, its free margin smooth . Distal margin of dorsal fin straight or convex; inner surface of lips with 4-10 transverse folds or costae . Inferior mouth with well-developed lips forming a sucker-like ring enclosing the jaws; snout typically swollen, as long as or much longer than the postocular part of the head . Body not cylindriform, its depth 27-39% of SL or 2.3-3.3 times in SL . Depth of caudal peduncle 0.7-1.3x its length; 26-46 (50-150mm) and 37-47 (150-250mm) gill rakers; scale formula 5.5-7.5/36-40/6.5-7.5; 4.5 scales between lateral line and pelvic-fin base; 16 (18) scales around caudal peduncle . 11-14 dorsal fin branched rays . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Labeo-coubie
73,Rhinichthys cataractae,rhinichthys cataractae,fishbase,OK,,Vertebrae : 40 - 42. Absence of a groove between the upper lip and tip of snout. Barbel present. Snout long and overhanging. Body shape ( shape guide ): elongated,"max length: 22
environment: milieu / climate zone / depth range / distribution range
depth: ? - 7
body: elongated",Vertebrae : 40 - 42. Absence of a groove between the upper lip and tip of snout. Barbel present. Snout long and overhanging. Body shape ( shape guide ): elongated,https://fishbase.se/summary/Rhinichthys-cataractae
